tunf
unf
clb
psnc
tsnc
snc
ncc
asnc
phed
tncc
pncc
gdy
yneo
pw22
slx
pl22
pneo
tneo
neo
tnec
nec
aneo
cc2
dbl
p22
ymid
pvow
tvoc
tvow
ovoc
mvow
svow
voc
vow
avow
q06
smid
omic
tmid
pmid
tmic
mic
amid
mid
j21
cmb2
htr20
pafr
oafc
aafr
afc
tafr
tafc
mafr
afr
plg21
pmh2
mmh2
h1r
tmh2
pw21
mh2
amh2
ha5
pstx
tstx
tc21
sstx
mstx
stx
sta
oc21
c21
astx
tsr
ttsr
ha4
pkhm
mkhm
skhm
khm
tkhc
akhm
tkhm
khc
pl21
pf21
pj21
cc1
cmr
tcmr
klr
plist
pznr
tznc
mznr
znc
sznr
aznr
tznr
znr
zne
akr
anb
2xm
t2xm
htr19
ajmp
jmp
pm21
tm21
m21
ss3
fjmp
slu
ha3
plg20
piko
tiko
iko
oc20
c20
tc20
ha2
fmb1
tund
und
pthb
tthb
thb
j20
pf20
sld
ha1
tgn2
gn2
cmb1
mb1
ptg
peld
eld
teld
oc19
c19
tc19
htr18
ps19
pm20
ppp1
tm20
m20
ss2
pmh1
mh1
amh1
tmh1
pwar
twar
war
j19
prw2
gk2
tgk2
prna
trna
rna
pf19
opca
puma
tuma
uma
gnt
g18
prwk
tgk1
gk1
tgrn
pgrn
grn
med
tmed
oc18
c18
tc18
htr17
ps18
xana
ana
pana
oana
pm19
pss3
tm19
m19
gs1
ss1
pbbd
tbbd
bbd
cm2
tcm2
pdom
tdom
dom
tddu
ddu
a25
ta25
plny
pnat
trix
prix
rix
j18
f18
pust
tust
ust
tima
pxtc
e02
v17
ima
ddt
tddt
g17
pxln
xln
txln
pss2
h17
htr16
te01
oc17
c17
tc17
ps17
phou
hou
thou
oe01
e01
tcma
cma
pakh
akh
takh
mp2
w17
tdds
dds
tmm3
mm3
paer
taer
aer
l17
j17
f17
tpca
pca
pz2
oc16
c16
tc16
ps16
pkld
kld
tkld
mps
ddr
cn2
tcn2
v16
pemn
temn
emn
ema
tema
psoi
tsoi
w16
soi
ddq
ogw
togw
pogw
l16
f16
j16
pz1
tc15
oc15
c15
bfz
pbfz
tbfz
pss1
exp
ddp
v15
cp3
pori
ori
tori
ps15
mm2
tmm2
tpr
ptkdf
pdtk
dtk
tdtk
ddo
pfrf
cp2
frf
tfrf
ugin
l15
f15
j15
tjvc
tdvd
tgvl
dvd
jvc
gvl
tevg
evg
oc14
tc14
c14
pktk
tktk
ktk
ddn
v14
tm15
m15
cp1
pm15
ppc1
ps14
vma
pcns
cns
tcns
tmd1
md1
tdag
jou
thp3
tjou
pjou
tddm
ddm
tbth
tbng
bng
thp2
pbng
pdp15
pi14
l14
f14
j14
oc13
c13
tfth
ths
tths
thp1
pths
tddl
ddl
v13
tm14
m14
pm14
psdc
tmma
mma
dgm
tdgm
pdgm
pwcq
ddk
tddk
gtc
tgtc
pgtc
pdp14
pi13
l13
f13
j13
ocm1
cm1
rtr
prtr
trtr
tddj
ddj
v12
tm13
m13
pm13
opc2
pc2
avr
tavr
phel
pavr
tddi
ddi
tdka
dka
pdka
pidw
pw12
pdp13
l12
j12
f12
pd3
tisd
isd
pisd
ddh
tddh
v11
tm12
m12
pm12
ocmd
pcmd
cmd
td2
nph
tnph
pnph
tddg
ddg
mbs
tmbs
pmbs
me4
pmps11
pdp12
pw11
ps11
f11
p11
olgc
g11
pd2
td0
som
tsom
psom
tddf
ddf
v10
tm11
m11
pm11
oarc
arc
parc
dpa
proe
troe
roe
dde
tdde
pwwk
wwk
twwk
pdp10
pw10
pmps10
f10
g10
p10
h09
tddd
ddd
pzen
tzen
zen
me3
ohop
hop
phop
v09
tm10
m10
pm10
parb
arb
tarb
tddc
ddc
purl
pcon
con
tcon
pbook
pw09
pdtp
pmps09
g09
p09
f09
tdd2
dd2
pala
tala
ala
pwpn
me2
drb
peve
teve
eve
pshm
tshm
shm
p15a
pmor
mor
tmor
pmps08
pg08
f08
g08
p08
tdd1
dd1
plrw
tlrw
lrw
me1
psum
10e
p10e
t10e
pfut
fut
pgpx
ppro
pplc
plc
pres
pg07
pmps07
f07
g07
p07
hho
ptsp
tsb
tsp
pcsp
cst
csp
pdis
dis
pcmp
pgpt
gpt
pal06
pmps06
pjas
f06
pgtw
p06
g06
phuk
p2hg
prav
rav
psal
p9ed
9ed
psok
sok
pbok
bok
pal05
pmps
pjse
f05
p05
g05
punh
unh
pchk
chk
wc04
pdst
p5dn
pmrd
5dn
dst
pal04
g04
p04
f04
mrd
wc03
p8ed
8ed
pscg
scg
pons
plgn
lgn
pmoa
pjjt
pal03
f03
ovnt
g03
p03
ons
wc02
phj
prm
pjud
jud
ptor
tor
pal02
f02
pr2
g02
dkm
pody
ody
wc01
psdg
papc
apc
7ed
ppls
pls
pal01
g01
f01
mpr
pinv
inv
btd
wc00
ppcy
pcy
s00
pnem
nem
pelp
pal00
fnm
g00
psus
brb
pmmq
mmq
pwos
wc99
pwor
pgru
ptk
pptk
s99
puds
uds
6ed
pulg
ulg
pal99
g99
ath
pusg
usg
palp
wc98
tugl
ugl
p02
pexo
exo
psth
sth
jgp
ptmp
tmp
wc97
wth
por
pvan
ppod
pmic
past
5ed
vis
itp
mgb
mir
pred
pcel
parl
rqs
all
ptc
hml
rin
ren
chr
ice
4bb
4ed
pmei
plgm
fem
phpr
drk
pdrc
sum
leg
3ed
fbb
atq
arn
cei
ced
2ed
leb
lea
